"Codigo","Descripcion","lista3","Tipo","IVA","ROS","MZA","CBA","LUG","Grupo","Rubro","Part Number" 
"212239"," PARLANTE  X-TECH MINI PORTATIL AZUL C/BLUTOOTH","14.31","A","21","0","1","0","0","172","001-0355","XTS-600BL"
"39624"," UVC ETIQUETA  CONTROL RADIACIÓN UV-C  X100U","50.82","A","21","2","1","2","2","0","","CD87-200"
"21068","65W AC ADAPTER DELTA ADP-65JH DB","40.5","A","21","2","0","0","0","90","001-0455","ADP-65JH DB"
"56","AC ADAPTER   - 76G011651-5A -","38.12","A","21","7","0","0","0","0","001-0455","76G011651-5A"
"163","ACCESORIO ANGULO EXTERNO MOVIL 70/105ºX25U","6.28","A","21","8","0","5","33","257","001-0055","FDAEM"
"39580","ACCESS POINT Aruba AP-505   WiFi6 (RW) Unified HPE","507.47","A","10.5","0","0","0","22","605","001-0612","R2H28A"
"36839","ACCESS POINT Aruba AP-515   WiFi6 (RW) Unified HPE","798.6","A","10.5","0","0","0","15","605","001-0612","Q9H62A"
"36535","Access Point Aruba Instant On AP11 (RW) HPE","95.83","A","10.5","0","5","0","78","605","001-0612","R2W96A"
"36536","Access Point Aruba Instant On AP12 (RW) HPE","174.82","A","10.5","4","3","3","63","605","001-0612","R2X01A"
"36537","Access Point Aruba Instant On AP15 (RW) HPE","203.96","A","10.5","0","0","0","11","605","001-0612","R2X06A"
"39630","Access Point Aruba Instant On AP22 (RW) HPE","207.56","A","10.5","0","0","0","2","605","001-0612","R4W02A"
"HPN181","Access Point Aruba Instant On AP25 (RW) 4x4 WiFi 6","365.21","A","10.5","2","1","1","48","605","001-0612","R9B28A"
"213780","ACCESS POINT HIKVISION 3WAP622G-SI WIFI 6 AX1800","81.91","A","10.5","10","0","7","36","603","001-0612","DS-3WAP622G-SI"
"213779","ACCESS POINT HIKVISION DS-3WAP522-SI WIFI 5 AC1200","52.9","A","10.5","20","7","22","116","603","001-0612","DS-3WAP522-SI(O-STD)"
"212650","ACCESS POINT TP-LINK EAP245 (5-PACK)","307.89","A","10.5","2","0","2","46","140","001-0612","EAP245(5-PACK)"
"212654","ACCESS POINT TP-LINK EAP265 HD DUAL BAND AC1750","83.68","A","10.5","10","4","9","187","140","001-0612","EAP265 HD"
"212651","ACCESS POINT TP-LINK EAP610-OUT AX1800 MU-MIMO POE","119.48","A","10.5","27","13","24","210","140","001-0612","EAP610-OUTDOOR"
"49036","ACCESS POINT TP-LINK EAP620 HD DUAL BAND AX1800","112.86","A","10.5","11","7","9","90","140","001-0612","EAP620 HD"
"212655","ACCESS POINT TP-LINK EAP660 HD WIFI 6 AX3600","184.39","A","10.5","10","2","0","0","140","001-0612","EAP660 HD"
"212282","ADAP  X-TECH C/CONEC HDMI MACHO A HDMI HEMBRA 90G","2.69","A","21","2","14","5","14","172","001-0030","XTC-344"
"212283","ADAPTADO  X-TECH C/CONEC HDMI MACHO A HDMI HEMBRA","4.29","A","21","3","10","6","4","172","001-0030","XTC-347"
"12999","ADAPTADOR 12V 2A P/DVR 4-8CH KG","8.28","A","21","3","0","0","0","213","003-0362","FJ-SW1202000A"
"14106","ADAPTADOR 5.25M A 5.25M POWER 15CM 4PINES","0.74","A","10.5","95","32","58","0","90","001-1055","CX933D"
"70010","ADAPTADOR 80 A 68 PINES P/SCSI","3.99","A","21","1","0","0","0","32","001-0131",""
