Categoría;Marca;ID;Producto;Código Interno;Código Barras;Precio Compra;Alicuota IVA;Margen Categoría;Margen Producto;Precio Fijo;Precio Único;Precio Final;Moneda;Stock;Ubicación;Descripción;Proveedor;Imágenes;Oferta;Redondeo;Alto (Cm);Ancho (Cm);Profundidad (Cm);Peso (Kg);Garantia
Coolers;Adata;259;CPU COOLER ID COOLING AM4 (USADO SIN CAJA) ;;;10.714,29;21,00%;30,00%;0,00%;0,00;SI;16.853,58;$;0,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Gabinetes;Adata;241;GABINETE ADATA XPG VALOR MESH NEGRO FAN X4 ;;;54,19;10,50%;30,00%;30,00%;0,00;SI;77,84;u$s;0,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
General;Adata;247;LECTOR OCOM IMAGER OCBS-2019 USB 1D-2D C/BASE ;;;30,02;10,50%;30,00%;25,00%;0,00;SI;41,46;u$s;0,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Memorias;Adata;272;RAM DDR4 8GB 2666MHZ CL19 ADATA SINGLE TRAY ;;;11,33;10,50%;30,00%;30,00%;0,00;SI;16,28;u$s;0,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Memorias;Adata;283;RAM DDR4 8GB 2666MHZ CL19 ADATA SINGLE TRAY (USADA) ;;;0,00;10,50%;30,00%;0,00%;13.574,66;SI;15.000,00;$;0,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Discos Internos SSD;Adata;309;SSD M.2 NVME 256GB ADATA LEGEND 710 ;;;19,62;10,50%;30,00%;30,00%;0,00;SI;28,18;u$s;3,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Discos Internos SSD;Adata;300;SSD SATA 960GB ADATA SU630 BLISTER ;;;49,35;10,50%;30,00%;30,00%;0,00;SI;70,89;u$s;0,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Gabinetes;Aerocool;138;GABINETE AEROCOOL CYLON (USADO) SIN TAPAS LATERALES ;;;12.928,25;10,50%;30,00%;40,00%;0,00;SI;20.000,00;$;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Procesadores;AMD;168;AMD ATHLON 3000G AM4 (USADO) ;;;32.320,62;10,50%;25,00%;40,00%;27.149,32;SI;30.000,00;$;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Procesadores;AMD;167;AMD RYZEN 3 2200G AM4 (USADO) ;;;38.784,74;10,50%;25,00%;40,00%;54.298,64;SI;60.000,00;$;2,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Procesadores;AMD;170;AMD RYZEN 3 3100 AM4 (USADO) ;;;42.016,81;10,50%;25,00%;40,00%;54.298,64;SI;60.000,00;$;0,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Procesadores;AMD;165;AMD RYZEN 3 3200G AM4 ;;;65,64;10,50%;25,00%;25,00%;0,00;SI;90,67;u$s;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Procesadores;AMD;164;AMD RYZEN 3 3200G AM4 (USADO) ;;;40.000,00;10,50%;25,00%;40,00%;63.348,42;SI;70.000,00;$;2,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Procesadores;AMD;256;AMD RYZEN 3 4100 AM4 (USADO) ;;;42.857,14;21,00%;25,00%;0,00%;49.586,78;SI;60.000,00;$;0,00;;;;;0,00;1.000,00;0,00;0,00;0,00;0,00;-
Procesadores;AMD;166;AMD RYZEN 3 PRO 4350G AM4 (USADO) ;;;48.480,93;10,50%;25,00%;40,00%;0,00;SI;75.000,00;$;0,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Procesadores;AMD;340;AMD RYZEN 5 1600 AM4 ;;;40.000,00;0,00%;25,00%;0,00%;70.000,00;SI;70.000,00;$;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Procesadores;AMD;171;AMD RYZEN 5 4500 AM4 ;;;66,90;10,50%;25,00%;20,00%;0,00;SI;88,71;u$s;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Procesadores;AMD;172;AMD RYZEN 5 4600G AM4 ;;;115,89;10,50%;25,00%;20,00%;0,00;SI;153,67;u$s;3,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Procesadores;AMD;173;AMD RYZEN 5 5500 AM4 ;;;81,26;10,50%;25,00%;20,00%;0,00;SI;107,75;u$s;6,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Procesadores;AMD;175;AMD RYZEN 5 5600 AM4 ;;;134,61;10,50%;25,00%;20,00%;0,00;SI;178,49;u$s;0,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Procesadores;AMD;174;AMD RYZEN 5 5600G AM4 ;;;136,82;10,50%;25,00%;20,00%;0,00;SI;181,42;u$s;0,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Procesadores;AMD;265;AMD RYZEN 5 5600GT AM4 ;;;129,07;10,50%;25,00%;25,00%;123,82;SI;136,82;u$s;0,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Procesadores;AMD;176;AMD RYZEN 5 5600X AM4 ;;;163,80;10,50%;25,00%;20,00%;0,00;SI;217,20;u$s;0,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Procesadores;AMD;169;AMD RYZEN 5 5600X AM4 (USADO) ;;;103.425,99;10,50%;25,00%;40,00%;144.796,38;SI;160.000,00;$;0,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Procesadores;AMD;250;AMD RYZEN 5 8600G AM5 ;;;205,22;10,50%;25,00%;20,00%;0,00;SI;272,12;u$s;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Procesadores;AMD;163;AMD RYZEN 7 1700X AM4 (USADO) ;;;96.961,86;10,50%;25,00%;40,00%;0,00;SI;150.000,00;$;0,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Procesadores;AMD;335;AMD RYZEN 7 2700X C/ COOLER WRAITH PRISM AM4 (USADO) ;;;85.714,28;0,00%;25,00%;50,00%;130.000,00;SI;130.000,00;$;0,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Procesadores;AMD;326;AMD RYZEN 7 5700G AM4 (USADO) ;;;135.714,29;0,00%;25,00%;40,00%;185.000,00;SI;185.000,00;$;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Procesadores;AMD;177;AMD RYZEN 7 5700X AM4 ;;;197,31;10,50%;25,00%;20,00%;0,00;SI;261,63;u$s;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Procesadores;AMD;269;AMD RYZEN 7 5700X3D BULK AM4 ;;;238,03;10,50%;25,00%;25,00%;0,00;SI;328,78;u$s;2,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Gabinetes;Antec;257;GABINETE ANTEC FANES X6 ;;;21.428,57;21,00%;30,00%;0,00%;35.537,19;SI;43.000,00;$;0,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Motherboards;AORUS;333;GIGABYTE AM4 B450 AORUS ELITE DDR4 (USADO SIN CAJA) ;;;50.000,00;0,00%;30,00%;60,00%;0,00;SI;80.000,00;$;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Motherboards;AORUS;238;GIGABYTE S.1151 AORUS B360 GAMING 3 WIFI DDR4 (USADO) ;;;32.320,62;10,50%;30,00%;40,00%;0,00;SI;50.000,00;$;1,00;;;;;0,00;1.000,00;0,00;0,00;0,00;0,00;-
