Categoría;Marca;ID;Producto;Código Interno;Código Barras;Precio Compra;Alicuota IVA;Margen Categoría;Margen Producto;Precio Fijo;Precio Único;Precio Final;Moneda;Stock;Ubicación;Descripción;Proveedor;Imágenes;Oferta;Redondeo;Alto (Cm);Ancho (Cm);Profundidad (Cm);Peso (Kg);Garantia
coolers;Adata;259;CPU COOLER ID COOLING AM4 (USADO SIN CAJA) ;;;10.714,29;21,00%;30,00%;0,00%;0,00;SI;16.853,58;$;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
memorias;Adata;272;DDR4 ADATA 8GB 2666MHZ CL19 SINGLE TRAY ;;;12,93;10,50%;30,00%;30,00%;0,00;SI;18,58;u$s;3,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Gabinetes;Adata;241;GABINETE ADATA XPG VALOR MESH NEGRO FAN X4 ;;;54,19;10,50%;30,00%;30,00%;0,00;SI;77,84;u$s;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
General;Adata;247;LECTOR OCOM IMAGER OCBS-2019 USB 1D-2D C/BASE ;;;30,02;10,50%;30,00%;25,00%;0,00;SI;41,46;u$s;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Gabinetes;Aerocool;138;GABINETE AEROCOOL CYLON (USADO) SIN TAPAS LATERALES ;;;12.928,25;10,50%;30,00%;40,00%;0,00;SI;20.000,00;$;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Procesadores;AMD;168;ATHLON 3000G (USADO) ;;;32.320,62;10,50%;25,00%;40,00%;0,00;SI;50.000,00;$;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Procesadores;AMD;170;RYZEN 3 3100 (USADO) ;;;42.016,81;10,50%;25,00%;40,00%;0,00;SI;65.000,01;$;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Procesadores;AMD;165;RYZEN 3 3200G ;;;67,97;10,50%;25,00%;20,00%;0,00;SI;90,13;u$s;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Procesadores;AMD;164;RYZEN 3 3200G (USADO) ;;;50.000,00;10,50%;25,00%;40,00%;0,00;SI;77.350,00;$;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Procesadores;AMD;166;RYZEN 3 PRO 4350G (USADO) ;;;48.480,93;10,50%;25,00%;40,00%;0,00;SI;75.000,00;$;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Procesadores;AMD;172;RYZEN 5 4600G ;;;113,64;10,50%;25,00%;20,00%;0,00;SI;150,69;u$s;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Procesadores;AMD;175;RYZEN 5 5600 ;;;134,61;10,50%;25,00%;20,00%;0,00;SI;178,49;u$s;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Procesadores;AMD;174;RYZEN 5 5600G ;;;136,82;10,50%;25,00%;20,00%;0,00;SI;181,42;u$s;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Procesadores;AMD;265;RYZEN 5 5600GT ;;;129,07;10,50%;25,00%;25,00%;123,82;SI;136,82;u$s;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Procesadores;AMD;176;RYZEN 5 5600X ;;;163,80;10,50%;25,00%;20,00%;0,00;SI;217,20;u$s;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Procesadores;AMD;250;RYZEN 5 8600G AM5 ;;;205,22;10,50%;25,00%;20,00%;0,00;SI;272,12;u$s;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Procesadores;AMD;163;RYZEN 7 1700X (USADO) ;;;96.961,86;10,50%;25,00%;40,00%;0,00;SI;150.000,00;$;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Procesadores;AMD;177;RYZEN 7 5700X ;;;197,31;10,50%;25,00%;20,00%;0,00;SI;261,63;u$s;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Procesadores;AMD;269;RYZEN 7 5700X3D BULK ;;;224,54;10,50%;25,00%;25,00%;0,00;SI;310,15;u$s;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Gabinetes;Antec;257;GABINETE ANTEC FANES X6 ;;;21.428,57;21,00%;30,00%;0,00%;35.537,19;SI;43.000,00;$;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Motherboards;AORUS;238;AORUS B360 GAMING 3 WIFI (USADO) ;;;32.320,62;10,50%;30,00%;40,00%;0,00;SI;50.000,00;$;1,00;;;;;0,00;1.000,00;0,00;0,00;0,00;0,00;-
Motherboards;ASRock;178;ASROCK A320 HDV M.2 (USADO) ;;;38.784,74;10,50%;30,00%;40,00%;0,00;SI;59.999,99;$;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Motherboards;ASRock;184;ASROCK B450M STEEL LEGEND ;;;101,00;10,50%;30,00%;25,00%;0,00;SI;139,51;u$s;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Placas de video;ASRock;196;RADEON ASROCK RX 570 8GB PHANTOM GAMING GDRR5 (USADO) ;;;77.569,49;10,50%;30,00%;40,00%;0,00;SI;120.000,00;$;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Placas de video;ASRock;203;RADEON ASROCK RX 6600 CHALLENGER 8GB GDDR6 (USADO) ;;;147.058,82;10,50%;30,00%;60,00%;0,00;SI;259.999,99;$;5,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Placas de video;ASRock;205;RADEON ASROCK RX 6700 XT CHALLENGER 12GB GDDR6  (USADO) ;;;192.307,69;10,50%;30,00%;60,00%;0,00;SI;340.000,00;$;5,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Motherboards;ASUS;248;ASUS PRIME A520M-K/CSM BOX M-ATX ;;;58,36;10,50%;30,00%;25,00%;0,00;SI;80,60;u$s;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Motherboards;ASUS;192;ASUS PRIME B560M-A (USADO) ;;;64.641,24;10,50%;30,00%;40,00%;0,00;SI;100.000,00;$;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Motherboards;ASUS;193;ASUS PRIME H310M-R (USADO) ;;;19.392,37;10,50%;30,00%;40,00%;0,00;SI;30.000,00;$;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
